Region,Year,annual_rainfall_mm,rainfall_std_mm,mean_temp_C,max_temp_C,min_temp_C
North_Central,2015,726.62,68.78227359288192,25.84520398105479,40.33,12.36
North_Central,2016,1390.08,109.77504916046188,25.248153318502037,40.32,15.45
North_Central,2017,920.2,80.19205087938845,25.57495833333333,39.82,16.74
North_Central,2018,905.24,88.98061600282628,25.66687103174603,39.61,14.03
North_Central,2019,1117.11,115.22313444514359,25.707712429595492,41.12,14.57
North_Central,2020,1162.47,91.0900248131185,25.07318177604746,39.89,13.49
North_Central,2021,1506.18,138.49643766340904,25.285187724014335,39.86,15.61
North_Central,2022,1714.56,156.31247725455106,24.28273099078341,39.08,14.93
North_Central,2023,694.0600000000001,54.35339511572447,26.237052483358937,39.51,15.98
North_East,1990,622.98,64.84412197374142,27.958063620071684,43.66,13.62
North_East,1991,696.0600000000001,74.83640782642922,27.61383358934972,44.26,11.44
North_East,1992,599.81,54.34258173984297,26.973915647015204,43.24,8.56
North_East,1993,611.81,68.85298758399976,27.660373527905787,42.64,10.61
North_East,1994,846.35,98.74364757089977,26.97874929595494,43.78,10.36
North_East,1995,943.8699999999999,101.87966925904959,26.939555619559652,43.7,11.68
North_East,1996,705.14,73.32375850027097,27.253158324063776,42.3,11.11
North_East,1997,762.8100000000001,69.87348542837326,27.14925115207373,42.27,12.0
North_East,1998,641.17,71.44268286959877,27.973656938044034,44.81,10.52
North_East,1999,596.3,76.69285741702338,28.16946358166923,44.3,11.44
North_East,2000,449.47,53.25195369157546,27.89101038190582,45.14,12.05
North_East,2001,608.23,74.75141524453304,27.504981438812084,44.81,10.05
North_East,2002,525.56,67.09720700505191,28.23985861495136,45.43,9.65
North_East,2003,529.65,64.42283179757145,28.514449116743467,44.58,10.86
North_East,2004,452.21999999999997,61.88265691833801,28.730840563589172,43.96,12.92
North_East,2005,621.09,78.14487642426492,28.674091333845368,44.69,10.61
North_East,2006,517.99,63.815038617773155,28.792894777265744,43.25,9.61
North_East,2007,678.25,78.20162012485109,28.00033256528418,45.11,10.13
North_East,2008,853.64,104.8679407925063,27.290121832900752,43.95,10.43
North_East,2009,511.05,54.69795128704548,28.633518561187916,43.54,12.39
North_East,2010,764.3,86.4492734953787,28.06317754736303,45.16,9.56
North_East,2011,626.68,73.93420850917921,27.835062596006143,44.19,10.2
North_East,2012,864.03,88.54522687459063,27.291205197132616,44.52,9.71
North_East,2013,718.47,84.11364640391972,28.16570961341526,43.85,9.82
North_East,2014,667.13,68.65362023935589,27.983658090117768,43.48,11.97
North_East,2015,448.41,56.04982947423577,28.251033666154637,43.78,6.8
North_East,2016,715.51,84.9665797891183,28.052097886540604,44.06,10.69
North_East,2017,633.51,67.33052436572609,28.019501856118794,44.24,13.37
North_East,2018,684.46,80.32909275240348,27.873069956477213,43.77,9.77
North_East,2019,617.44,60.36894766702699,28.19152841781874,44.97,11.6
North_East,2020,493.77,61.21541726855773,27.9503069768879,44.03,11.04
North_East,2021,558.01,65.58573784241003,28.276838837685613,44.22,12.83
North_East,2022,547.3100000000001,68.76118995986741,27.442134856630826,44.54,11.07
North_East,2023,375.63,45.392230036948746,29.34328853046595,43.81,12.65
North_West,1990,755.06,72.92057570127969,26.154230094726064,41.46,10.52
North_West,1991,819.99,85.79913435937557,25.839643561187916,42.01,8.43
North_West,1992,863.64,90.23503310798972,25.10087662217278,41.91,7.14
North_West,1993,869.2,89.85240011296641,25.540881912442398,40.84,8.14
North_West,1994,1019.75,107.19524425155957,25.069590821812596,42.49,7.5
North_West,1995,926.61,97.9697973983448,25.201487199180747,41.47,9.31
North_West,1996,992.75,98.23041312586845,25.310136509702136,41.68,7.9
North_West,1997,829.21,81.04901081313626,25.548570276497696,40.82,8.45
North_West,1998,990.9399999999999,105.31971833278405,25.955455325140807,42.64,7.82
North_West,1999,269.76,28.848018996111325,27.001587045570915,41.79,7.51
North_West,2000,713.33,77.87126316244749,25.95381905821283,43.07,8.81
North_West,2001,796.01,90.47011414709213,25.45954845110087,42.85,7.63
North_West,2002,617.9,65.46470205501217,26.257074052739373,42.8,7.0
North_West,2003,646.31,66.42825048786689,26.548774769585254,42.37,8.28
North_West,2004,349.5,37.059266415739096,27.162321900877515,41.99,10.32
North_West,2005,511.48,53.139138346819514,27.396103174603173,42.97,8.49
North_West,2006,458.78000000000003,75.87231868359002,27.359306131592422,43.02,8.22
North_West,2007,858.61,101.89798904772212,25.91517825140809,42.97,8.16
North_West,2008,743.41,87.78435628478078,25.843615004325795,42.15,7.01
North_West,2009,534.48,64.63731894192395,27.09956912442396,41.98,8.77
North_West,2010,777.92,81.65603382853016,26.628070340501793,44.05,8.14
North_West,2011,531.12,62.09042203988397,26.347608486943162,42.61,7.77
North_West,2012,1022.75,102.17305119331375,25.679710820664937,42.79,7.09
North_West,2013,437.84,54.90223067720776,27.03103494623656,42.37,8.47
North_West,2014,599.82,64.74299491766727,27.033516705069122,42.16,8.94
North_West,2015,422.31,62.931298055895844,26.669189964157706,43.12,5.88
North_West,2016,452.40000000000003,50.28333123411774,27.213967278457545,42.86,8.49
North_West,2017,595.73,73.6089009511922,26.70868439580133,42.89,11.55
North_West,2018,397.24,49.98177928611646,26.978225358422936,43.02,7.79
North_West,2019,517.4,64.17347672638218,27.06079691500256,42.81,8.77
North_West,2020,1291.71,121.94411112733721,25.57967612161661,41.65,8.34
North_West,2021,1845.71,246.65683502161215,25.298511200716845,42.3,7.78
North_West,2022,781.04,83.48065005337064,24.571566692268306,41.57,6.53
North_West,2023,404.08,41.11922539360022,27.327489247311828,42.4,9.88
South_East,1990,1182.73,66.48165070950483,25.26209261392729,33.37,16.02
South_East,1991,1233.46,89.43915339830797,25.133299027137735,33.34,13.95
South_East,1992,1906.61,138.07137077075447,24.92666645037696,38.02,13.09
South_East,1993,1897.91,117.64156210968154,24.76695532514081,32.96,12.54
South_East,1994,1960.31,127.17170593395181,24.657319828469024,32.87,13.39
South_East,1995,2178.27,145.7412953349499,24.791584485407068,32.49,14.5
South_East,1996,1894.87,135.31149037134705,24.93474592139414,33.39,15.26
South_East,1997,1692.87,104.33568126049165,24.80467933947773,32.88,13.56
South_East,1998,1402.75,109.34236253482439,25.429433371735794,34.88,13.75
South_East,1999,991.45,64.3478055652297,25.348232782898105,32.96,14.21
South_East,2000,2713.5,240.07868590791796,24.975136200716847,35.19,13.77
South_East,2001,1677.54,116.23460887360528,24.820756976446493,32.6,13.17
South_East,2002,1634.54,130.42463395549262,24.969871159754224,33.58,12.79
South_East,2003,1556.71,95.74422578918112,25.356667882744492,33.56,13.3
South_East,2004,1385.65,88.8119847009127,25.29667927326659,33.41,14.3
South_East,2005,1227.36,103.51938105758484,25.540544802867384,33.07,13.26
South_East,2006,1625.44,154.773151438034,25.425534498207885,33.4,12.94
South_East,2007,2325.87,175.0660832696146,24.91993221966206,32.9,12.07
South_East,2008,1249.21,90.70532132914938,25.02957786429366,32.24,12.93
