,Temperature_Avg_C,Temperature_Max_C,Temperature_Min_C,Precipitation_mm,Region,Latitude,Longitude,City
1990-03-15,28.31,34.36,22.89,0.25,South_South,5.148,7.361,Port Harcourt
1990-03-16,27.82,33.28,23.79,0.09,South_South,5.148,7.361,Port Harcourt
1990-03-17,27.37,31.05,24.58,0.26,South_South,5.148,7.361,Port Harcourt
1990-03-18,26.36,29.33,23.96,0.21,South_South,5.148,7.361,Port Harcourt
1990-03-19,26.68,29.66,23.76,0.11,South_South,5.148,7.361,Port Harcourt
1990-03-20,27.14,30.8,23.57,0.76,South_South,5.148,7.361,Port Harcourt
1990-03-21,27.73,32.3,23.93,0.1,South_South,5.148,7.361,Port Harcourt
1990-03-22,28.11,33.04,23.87,0.0,South_South,5.148,7.361,Port Harcourt
1990-03-23,28.91,34.43,24.01,0.0,South_South,5.148,7.361,Port Harcourt
1990-03-24,28.27,33.72,24.04,0.0,South_South,5.148,7.361,Port Harcourt
1990-03-25,28.2,33.36,23.7,0.0,South_South,5.148,7.361,Port Harcourt
1990-03-26,27.9,33.23,23.32,0.0,South_South,5.148,7.361,Port Harcourt
1990-03-27,26.79,30.21,24.08,3.72,South_South,5.148,7.361,Port Harcourt
1990-03-28,26.84,30.91,24.42,2.7,South_South,5.148,7.361,Port Harcourt
1990-03-29,26.9,30.71,23.87,6.01,South_South,5.148,7.361,Port Harcourt
1990-03-30,27.51,32.26,24.65,3.44,South_South,5.148,7.361,Port Harcourt
1990-03-31,26.57,29.86,24.34,4.05,South_South,5.148,7.361,Port Harcourt
1990-04-01,27.24,31.86,24.57,6.26,South_South,5.148,7.361,Port Harcourt
1990-04-02,26.98,31.16,24.21,6.51,South_South,5.148,7.361,Port Harcourt
1990-04-03,26.04,28.74,24.36,11.05,South_South,5.148,7.361,Port Harcourt
1990-04-04,27.4,32.25,24.03,3.76,South_South,5.148,7.361,Port Harcourt
1990-04-05,26.9,30.96,23.56,5.17,South_South,5.148,7.361,Port Harcourt
1990-04-06,26.78,30.88,24.81,6.06,South_South,5.148,7.361,Port Harcourt
1990-04-07,26.13,28.9,24.45,7.8,South_South,5.148,7.361,Port Harcourt
1990-04-08,25.22,28.14,23.34,2.85,South_South,5.148,7.361,Port Harcourt
1990-04-09,26.59,31.67,23.33,3.44,South_South,5.148,7.361,Port Harcourt
1990-04-10,26.51,31.19,23.77,3.81,South_South,5.148,7.361,Port Harcourt
1990-04-11,26.32,30.37,23.71,1.15,South_South,5.148,7.361,Port Harcourt
1990-04-12,26.4,29.98,23.91,1.1,South_South,5.148,7.361,Port Harcourt
1990-04-13,26.24,29.97,23.86,0.47,South_South,5.148,7.361,Port Harcourt
1990-04-14,26.44,31.17,23.1,0.52,South_South,5.148,7.361,Port Harcourt
1990-04-15,27.14,31.56,23.74,0.8,South_South,5.148,7.361,Port Harcourt
1990-04-16,26.43,29.58,24.36,9.41,South_South,5.148,7.361,Port Harcourt
